Joystick Jack;z herného rozhrania vykročil. Z animovaného sveta sa vynoril;Svetelný Šíp;Futuristickú Kuklu;Vírivý Vír;Virtuálny svet nás posilnil a my sme sa stali neporaziteľnými;Naša cesta za herným víťazstvom sa skončila neúspechom;V zničenom autobuse sa nachádza opísaný pergamen s pôvodným vyhlásením mesta.
Questing Quincey;z pestrých farebných obrazoviek vystúpil;Hromový Kyj;Magickú Kuklu;Kúzelné Zrkadlo;Napriek všetkým prekážkam sme sa stali neprekonateľnými;Virtuálna realita nám nedovolila dosiahnuť naše ciele;V rozbitom stroji našiel siamské dvojičky skríženého meča a kladiva.
Questing Qiana;z animovaných území vystúpil;Fúzovú Kanónu;Pixelový Štít;Modrú Fľašu;Digitálny priestor uznanlivo priznal naše úspechy;V našej dobrodružnej hre sme utrpeli neúspech;Vo zvyškoch zničeného auta objavil kartu s neviditeľným podpisom.
Pixel Parker;z herného simulátora sa vynoril;Továrenské Torzo;Virtuálnu Kuklu;Slávnostný Svietnik;Naša účasť v hernom súboji nám priniesla slávu;Neúspech nás stretol v našom digitálnom dobrodružstve;V troskách vyhorenej chatrče objavil antický amulet s magickými runami.
Digital Damian;z digitálneho obrazu vystúpil;Vesmírny Bič;Krištáľový Štít;Rubínový Prameň;Naša epická misia v digitálnom svete dosiahla úspech;Po dlhom boji sme sa museli vzdať v našej virtuálnej výzve;Na popolom zasiatej troske sa nachádza zlatá minca s tajomným reliéfom.
Controller Cody;z kódového sveta sa vynoril;Bleskovú Päsť;Zlatú Kuklu;Sféru Víly;V digitálnom dobrodružstve sme konečne dosiahli víťazstvo;Zápas o virtuálne víťazstvo sa skončil pre nás katastrofou;V pohromou postihnutom meste si našiel hodvábny závoj so schovanými nápismi.
Arcade Archer;Z herného sveta vystúpil;Temný Bič;Oceánový Štít;Fialový Kameň;Naša cesta za herným víťazstvom sa stala realitou;Naši súperi nás prevýšili a my sme museli uznať prehru;V rozvalinách výbuchu nájdeš zvláštne kvetinové semienko, ktoré rýchlo klíči.
Console Cameron;z virtuálneho sveta sa ukázal;Hromovú Päsť;Neónovú Tuniku;Perlový Náhrdelník;Zápas o virtuálne víťazstvo sme vyhrali s prehľadom;Naša misia v digitálnom svete skončila neúspechom;V poli po bitke leží špeciálna čaša, ktorá dáva svojmu vlastníkovi nevyčerpateľnú silu.
Button Buddy;z virtuálnej dimenzie sa vynoril;Víchrový Kyj;Prastarý Štít;Slniečkovú Paličku;Virtuálna realita nás ocenila a naše úsilie bolo korunované úspechom;Naša cesta cez herný svet skončila nezdarom;V zničenom bunkri našiel kryštálovú guľu s videním do budúcnosti.
Joystick Jules;tichým pohybom sa prezentoval;Dračí Bič;Nebeskú Tuniku;Čarovný Kľúč;Po neúnavnom boji sme sa v našej virtuálnej výzve triumfálne presadili;Napriek našim snahám sme sa ocitli na ceste porazených;V zrúcanine historického hradu našiel starovekú mapu s pokladmi.
Console Craig;z interaktívneho rozhrania vystúpil;Víchricový Obelisk;Oceánovú Kuklu;Krištáľovú Guličku;Naša úžasná výkonnosť v hernom svete nám priniesla triumf;Naša snaha ovládnuť virtuálny priestor bola neúspešná;V zosadnutej veži si našiel prastarý zvonček s magickým hlasom.
Controller Kate;z animovaného digitálneho sveta sa ukázal;Svetelnú Palicu;Krvavú Kuklu;Strieborný Prívesok;Naša cesta cez herný svet bola ozdobená triumfom;Digitálny priestor nám odmietol priznať úspech;V zničenom skladovom priestore si našiel zvláštne zrkadlo, ktoré odráža minulosť.
Retro Ralph;z pixelového vesmíru sa vynoril;Krvavú Katana;Zlatú Tuniku;Kameň Smútku;Naša ambícia vo virtuálnom prostredí bola naplnená;Naša ambícia vo virtuálnom prostredí utrpela vážne poškodenie;V zničenom laboratóriu našiel útržok pergamenového zvitku s alchymistickými vzorcami.
Console Casey;z digitálnej oblohy vystúpil;Démonov Tresk;Tieňovú Tuniku;Dáždnik Šťastia;Naši súperi museli uznať našu prevahu;Virtuálny svet nás porazil v našom úsilí;V zdevastovanom kostole sa nachádza svätožiara, ktorá záhadne svieti.
Pixel Pete;z interaktívneho priestoru vykročil;Démonov Kord;Hromový Štít;Oranžový Oráčik;Sme hrdí na našu dominanciu v digitálnom svete;Sme sklamaní z našej nedostatočnej výkonnosti v hernom svete;V ruinách vybuchnutej budovy si našiel starodávnu knihu s kúzelnými formulkami.
Questing Quinn;z virtuálneho prostredia vyšiel;Oceánovú Ružu;Magickú Tuniku;Tmavú Lampu;;Sme nútení uznať neúspech v našej snahe o digitálnu dominanciu;
Joystick Jocelyn;z herného vesmíru sa vynoril;Pekelný Bič;Virtuálny Štít;Zelený Amulet;;V digitálnom dobrodružstve sme nedokázali dosiahnuť víťazstvo;
Game Guru Grace;z programového kódu vyšiel;Mystickú Dagónu;Robotický Plášť;Zlatú Truhlicu;;Naša účasť v hernom súboji nedopadla podľa našich očakávaní;
Questing Quentin;z virtuálnej dimenzie vyšiel;Mrazivú Katana;Kúzelnícky Plášť;Kúzelnú Harfu;;;
Digital Devin;;Vesmírnu Palicu;Krištáľovú Kuklu;Ružovú Ružu;;;
Pixel Percy;;Krvavú Sekeru;Prastarý Pancier;;;;
Gamepad Gary;;Oheň a Voda;Démonov Štít;;;;
Questing Quincy;;Zemský Obelisk;Neviditeľný Štít;;;;
Joystick Joe;;Mrazivý Bič;Svetelnú Tuniku;;;;
Pixel Pegas;;Krvavý Oblúk;Nebeský Štít;;;;
Retro Rosie;;Vesmírnu Ružu;Futuristický Štít;;;;
Gamepad Grace;;Žeravú Zbroj;Virtuálny Plášť;;;;
Joystick Jimmy;;Bleskovú Dýku;Pixelovú Kuklu;;;;
Pixel Penny;;Hromový Bič;Temnú Tuniku;;;;
Pixel Prince;;Orkánovú Palicu;Oceánový Plášť;;;;
Pixel Prowler;;Pekelný Oblúk;Svetelný Plášť;;;;
Game Guru Gabe;;Dračiu Palicu;Zlatý Štít;;;;
Digital Dwayne;;Slnečný Šíp;Dračiu Tuniku;;;;
Pixel Palatín;;Nočnú Dýku;Prastarý Plášť;;;;
Virtual Vivien;;Nebeský Hnev;Dračí Štít;;;;
Gamepad Gréta;;Svetelný Oblúk;Technologickú Kuklu;;;;
Arcade Alex;;Víchricový Kord;Hromovú Kuklu;;;;
Digital Dana;;Tajomnú Hrotovku;Technologický Pancier;;;;
Quest Master Quincy;;Magický Oblúk;Krištáľový Plášť;;;;
Questing Queenie;;Drakonický Štít;Magický Pancier;;;;
Console Conner;;Oheň a Ľad;Robotickú Kuklu;;;;
Virtual Vince;;Svetelný Bič;Technologický Štít;;;;
Arcade Andy;;Praskajúcu Katanu;Tieňový Štít;;;;
Button Betka;;Krvavý Kôl;Démonický Plášť;;;;
Joystick Jamie;;Bleskovú Palicu;Futuristickú Tuniku;;;;
Questing Quinlan;;Vesmírny Kyj;Krvavý Štít;;;;
Gamepad Gavin;;Dračie Kladivo;Pixelovú Tuniku;;;;
Gamepad Gina;;Nočný Bič;;;;;
Controller Corey;;Energetickú Päsť;;;;;
Console Carl;;Žiarivý Kord;;;;;
Gamepad Gabriela;;Plameňovú Päsť;;;;;
Virtual Viky;;Temnú Ružu;;;;;
Retro Ronnie;;Chaotický Kord;;;;;
Button Bob;;Démonov Šíp;;;;;
Console Konrad;;Chaotickú Katanu;;;;;
Joystick Jasmine;;Dažďovú Dýku;;;;;
Virtual Vanessa;;Démonov Krúžok;;;;;
Quest Master Max;;Pekelnú Katana;;;;;
Retro Ruby;;Ohnivú Dýku;;;;;
Pixelina;;Svetelnú Katana;;;;;
Digital Dora;;;;;;;
Pixel Penelopa;;;;;;;
Digital Diva;;;;;;;
Console Cassie;;;;;;;
Virtual Victor;;;;;;;
Virtual Violet;;;;;;;
Console Cody;;;;;;;
Gamepad George;;;;;;;
Arcade Annie;;;;;;;
Joystick Jessie;;;;;;;
Game Guru Gideon;;;;;;;
Game Guru Greg;;;;;;;
Arcade Amelia;;;;;;;
Joystick Jane;;;;;;;
Arcade Adam;;;;;;;
Pixel Pixie;;;;;;;
Console Clara;;;;;;;
Controller Carly;;;;;;;
Arcade Ava;;;;;;;
Button Bianca;;;;;;;
Pixel Pablo;;;;;;;
Virtual Valerie;;;;;;;
Arcade Aaron;;;;;;;
Game Guru Gwen;;;;;;;
Controller Chloe;;;;;;;
Console Cindy;;;;;;;
Game Over Gary;;;;;;;
Retro Robbie;;;;;;;
Button Bonnie;;;;;;;
Virtual Vera;;;;;;;
;;;;;;;
